
 Lista de Imóveis da Caixa;;Data de geração:;13/07/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444409363813 ;PB ;ALHANDRA ;LT 25 QD 18 ;RUA PROJETADA, N. SN, CASA A ;28.489,78;110.000,00;74.11;Não;Casa, 77.60 de área total, 43.86 de área privativa, 100.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409363813
 8555508844013 ;PB ;ALHANDRA ;Mata Redonda ;VIA LOCAL 04, N. SN, Apto ., LT 11,12,13,14-A, QD D ;41.942,75;110.000,00;61.88;Não;Casa, 0.00 de área total, 59.52 de área privativa, 114.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555508844013
 8444420618601 ;PB ;ALHANDRA ;LOT ASA BRANCA ; RUA VIA DE ACESSO 01, N. SN, LT 16, QD A ;67.774,95;130.000,00;47.87;Não;Casa, 65.47 de área total, 65.47 de área privativa, 129.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420618601
 8444404485198 ;PB ;ALHANDRA ;LOT PORTAL DAS PRAIA ; RUA LOCAL 05, N. S/N, QD-B, LT 27 ;72.988,41;126.000,00;42.08;Não;Casa, 59.95 de área total, 59.95 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404485198
 8555505446017 ;PB ;ALHANDRA ;Mata Redonda ;RUA PROJETADA, N. SN, QD B, LT 07 ;81.964,82;140.000,00;41.46;Não;Casa, 81.20 de área total, 81.20 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555505446017
 8444412678064 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 129, CASA 01 ;50.936,05;144.000,00;64.63;Não;Casa, 0.00 de área total, 71.91 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412678064
 8444415707790 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 137, QD 12, LT A7, CS 01 ;51.577,32;145.812,92;64.63;Não;Casa, 0.00 de área total, 71.91 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415707790
 8444426982224 ;PB ;BAYEUX ;MARIO ANDREAZZA ;RUA SAO JOAO BATISTA, N. 95, CASA 05 ;44.049,35;124.000,00;64.48;Não;Casa, 0.00 de área total, 47.75 de área privativa, 800.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426982224
 8444408572729 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA PROJETADA, N. 143, CS 4 QD D  LT 03 ;37.108,02;96.000,00;61.35;Não;Casa, 0.00 de área total, 46.57 de área privativa, 103.31 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408572729
 8444405847913 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA VEREADOR DORGIVAL DANTAS, N. 255, CS 01 ;48.806,11;112.000,00;56.43;Não;Casa, 0.00 de área total, 46.57 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405847913
 8444424649340 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MARIA DO CARMO DOS SANTOS, N. 117, CS 05 ;47.063,04;108.000,00;56.43;Não;Casa, 0.00 de área total, 52.62 de área privativa, 134.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424649340
 8555521559602 ;PB ;BAYEUX ;MARIO ANDREAZZA ; RUA PROJETADA B, N. 301, CS 22 ;45.755,73;105.000,00;56.43;Não;Casa, 0.00 de área total, 57.12 de área privativa, 178.18 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521559602
 8444408858584 ;PB ;BAYEUX ;AREA RURAL DE BAYUEX ; RUA PROJETADA, N. 171, CS 02, LT. COLINA VERDE ;46.627,27;107.000,00;56.43;Não;Casa, 0.00 de área total, 45.66 de área privativa, 90.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408858584
 8444406149314 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NOVE DE NOVEMBRO, N. 72, CS B ;52.902,95;121.000,00;56.28;Não;Casa, 0.00 de área total, 60.00 de área privativa, 106.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406149314
 8444416990933 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NATIVIDADE, N. 37, CS 02 QD16 LT E ;53.340,16;122.000,00;56.28;Não;Casa, 0.00 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416990933
 8444417481803 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA NATIVIDADE, N. 37, QD 16 LT E ;49.886,17;114.100,00;56.28;Não;Casa, 0.00 de área total, 52.66 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417481803
 8444406041548 ;PB ;BAYEUX ;LOT RES PANORAMICO ; RUA PROJETADA VL-05, N. 250, CS 01 COND RES PANORAMICO ;38.654,20;87.500,00;55.83;Não;Casa, 0.00 de área total, 45.72 de área privativa, 67.66 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406041548
 8444404308709 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JOSE PAULINO FILHO, N. 270, CS 03 RUA PROJETADA 19 ;42.404,76;95.990,00;55.83;Não;Casa, 0.00 de área total, 46.58 de área privativa, 186.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404308709
 8555512688624 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA DA NATIVIDADE, N. 40, CS 03 ;41.614,00;94.200,00;55.83;Não;Casa, 0.00 de área total, 44.00 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512688624
 8444404257977 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA GOVERNADOR ANTONIO MARIZ, N. 266, CS 03 ;57.908,08;131.000,00;55.80;Não;Casa, 0.00 de área total, 49.88 de área privativa, 200.67 de área do terreno,  2 qto(s), WC, 1 sala(s), Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404257977
 8444414425538 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JOAQUIM RODRIGUES DE SOUZA, N. 257, CS B, QD K, LT 10-A ;55.697,85;126.000,00;55.80;Não;Casa, 0.00 de área total, 60.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414425538
 8555509510569 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA SAO JOAO BATISTA, N. 47, CS 03-C ;60.560,36;137.000,00;55.80;Não;Casa, 0.00 de área total, 53.67 de área privativa, 143.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555509510569
 8444406161489 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA VEREADOR DORGIVAL DANTAS, N. 285, CS 01 COND RES VILLA CLARA ;44.791,69;97.000,00;53.83;Não;Casa, 0.00 de área total, 51.81 de área privativa, 117.42 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406161489
 8444406183644 ;PB ;BAYEUX ;LOT SONHO VERDE ; RUA 09 DE NOVEMBRO, N. 72, CS C, CON RES GONCALVES V ;48.615,46;105.000,00;53.70;Não;Casa, 0.00 de área total, 60.00 de área privativa, 106.67 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406183644
 8444401330487 ;PB ;BAYEUX ;CENTRO ;RUA MANOEL PAULINO GOMES, N. 251,  . ;39.278,61;81.000,00;51.51;Não;Casa, 0.00 de área total, 46.57 de área privativa, 81.41 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401330487
 8444402400870 ;PB ;BAYEUX ;CENTRO ; RUA PROJETADA 02, N. 180, CASA 04 ;38.308,76;79.000,00;51.51;Não;Casa, 0.00 de área total, 46.57 de área privativa, 105.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402400870
 8787707135722 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MANOEL PAULINO GOMES, N. 535, Apto 202C, ;70.402,24;140.000,00;49.72;Não;Apartamento, 67.47 de área total, 52.78 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707135722
 8444406666378 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA JORGE AMADO, N. 105, CS 02, LOT. PANORAMICO ;54.164,70;107.500,00;49.62;Não;Casa, 45.72 de área total, 45.72 de área privativa, 75.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406666378
 8444413937470 ;PB ;BAYEUX ;COMERCIAL NORTE ; RUA MARIA DO CARMO DOS SANTOS, N. 137, CS 02 ;69.440,35;137.000,00;49.32;Não;Casa, 0.00 de área total, 71.92 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413937470
 8444417034122 ;PB ;BAYEUX ;COMERCIAL NORTE ;RUA MANOEL CALIXTO DE LIMA, N. 520, CS B ;69.000,68;135.000,00;48.89;Não;Casa, 58.96 de área total, 57.84 de área privativa, 70.96 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417034122
